type,startTime,endTime,hierarchyLevel,probability,placeID,semanticType,topCandidateProbability,lat,lon,activityType,startLat,startLon,endLat,endLon,distanceMeters
visit,2025-12-14T18:44:42.353-03:00,2025-12-16T10:48:57.999-03:00,0,0.638436,ChIJs9eus_jKvJUR1dqsWhyBEc4,Unknown,0.083029,-34.622176,-58.416598,,,,,,
activity,2025-12-16T10:48:57.999-03:00,2025-12-16T10:49:30.998-03:00,,0.992616,,,0.620487,,,in passenger vehicle,-34.542829,-58.488698,-34.546957,-58.490032,477.609711
visit,2025-12-16T10:49:30.998-03:00,2025-12-18T20:59:55.989-03:00,0,0.785740,ChIJiXqyScC2vJURa7eDXB_4r7Q,Unknown,0.289520,-34.546486,-58.487853,,,,,,
visit,2025-12-18T20:59:55.989-03:00,2025-12-19T06:12:05.000-03:00,0,0.686614,ChIJL2QXshm2vJURoaJGC-O6mDU,Unknown,0.238111,-34.598394,-58.482673,,,,,,
visit,2025-12-19T06:12:05.000-03:00,2025-12-19T20:34:17.989-03:00,0,0.811390,ChIJW9Q_USW2vJURBLWF90xb3GE,Searched Address,0.338388,-34.601037,-58.496831,,,,,,
activity,2025-12-19T20:34:17.989-03:00,2025-12-19T21:29:28.997-03:00,,0.973932,,,0.669902,,,in passenger vehicle,-34.598707,-58.482579,-34.608316,-58.452147,2996.554688
visit,2025-12-19T21:29:28.997-03:00,2025-12-21T10:55:22.999-03:00,0,0.782207,ChIJnVwspBrKvJURY_ImDUfP8JI,Unknown,0.084796,-34.608522,-58.451940,,,,,,
activity,2025-12-21T10:55:22.999-03:00,2025-12-21T11:06:20.999-03:00,,0.920563,,,0.491120,,,in passenger vehicle,-34.598302,-58.482338,-34.598931,-58.480489,183.109665
visit,2025-12-21T11:06:20.999-03:00,2025-12-21T17:11:47.149-03:00,0,0.404083,ChIJkYNibhm2vJURFa-1LP1AhAQ,Unknown,0.080695,-34.599308,-58.481189,,,,,,
activity,2025-12-21T17:11:47.149-03:00,2025-12-21T20:23:21.218-03:00,,0.692266,,,0.364720,,,walking,-34.590272,-58.515821,-34.598707,-58.482583,3183.779297
visit,2025-12-21T20:23:21.218-03:00,2025-12-22T18:02:05.122-03:00,0,0.752778,ChIJL2QXshm2vJURoaJGC-O6mDU,Unknown,0.097280,-34.598394,-58.482673,,,,,,
activity,2025-12-22T18:02:05.122-03:00,2025-12-22T18:02:19.999-03:00,,0.954952,,,0.514540,,,in passenger vehicle,-34.580898,-58.473754,-34.581262,-58.474358,68.501808
visit,2025-12-22T18:02:19.999-03:00,2025-12-23T07:43:09.271-03:00,0,0.529306,ChIJMaWo8nK2vJURvGYjh4a3ztk,Unknown,0.105275,-34.581577,-58.473858,,,,,,
visit,2025-12-23T07:43:09.271-03:00,2025-12-23T13:25:02.718-03:00,0,0.601207,ChIJW9Q_USW2vJURBLWF90xb3GE,Searched Address,0.466718,-34.601037,-58.496831,,,,,,
activity,2025-12-23T13:25:02.718-03:00,2025-12-23T14:05:13.461-03:00,,0.912810,,,0.589783,,,walking,-34.600583,-58.487730,-34.604770,-58.492676,649.566895
visit,2025-12-23T14:05:13.461-03:00,2025-12-23T14:07:02.163-03:00,0,0.742203,ChIJnUYyvya2vJUR_gWfJAojEmc,Unknown,0.405151,-34.605671,-58.493047,,,,,,
visit,2025-12-23T14:07:02.163-03:00,2025-12-28T09:31:11.168-03:00,0,0.457000,ChIJWzfmFbwDzpQRJdvWQeyXExI,Unknown,0.522565,-23.952892,-46.310287,,,,,,
visit,2025-12-28T09:31:11.168-03:00,2026-01-01T01:41:21.999-03:00,0,0.532179,ChIJkYNibhm2vJURFa-1LP1AhAQ,Unknown,0.134021,-34.599308,-58.481189,,,,,,
activity,2026-01-01T01:41:21.999-03:00,2026-01-01T02:06:23.981-03:00,,0.974987,,,0.637170,,,in passenger vehicle,-34.575243,-58.484178,-34.587296,-58.413453,7972.227539
activity,2026-01-01T02:06:23.981-03:00,2026-01-01T20:17:40.080-03:00,,0.700989,,,0.423749,,,walking,-34.575196,-58.484334,-34.575164,-58.484322,3.732196
visit,2026-01-01T20:17:40.080-03:00,2026-01-05T00:06:25.028-03:00,0,0.469309,ChIJ3zPfJBW2vJURcTW2IZOC5XY,Searched Address,0.588252,-34.587725,-58.483542,,,,,,
visit,2026-01-05T00:06:25.028-03:00,2026-01-09T19:39:50.693-03:00,0,0.865601,ChIJL2QXshm2vJURoaJGC-O6mDU,Unknown,0.259376,-34.598394,-58.482673,,,,,,
activity,2026-01-09T19:39:50.693-03:00,2026-01-09T19:40:44.000-03:00,,0.986718,,,0.573916,,,in passenger vehicle,-34.599546,-58.494058,-34.600211,-58.495119,122.115402
